step,weight:l:0:0:0, weight:l:0:0:1, weight:l:0:0:2, weight:l:0:1:0, weight:l:0:1:1, weight:l:0:1:2, bias:l:0:0, bias:l:0:1, bias:l:0:2, weight:l:1:0:0, weight:l:1:0:1, weight:l:1:0:2, weight:l:1:1:0, weight:l:1:1:1, weight:l:1:1:2, weight:l:1:2:0, weight:l:1:2:1, weight:l:1:2:2, bias:l:1:0, bias:l:1:1, bias:l:1:2, weight:l:2:0:0, weight:l:2:0:1, weight:l:2:0:2, weight:l:2:1:0, weight:l:2:1:1, weight:l:2:1:2, weight:l:2:2:0, weight:l:2:2:1, weight:l:2:2:2, bias:l:2:0, bias:l:2:1, bias:l:2:2, weight:l:3:0:0, weight:l:3:1:0, weight:l:3:2:0, bias:l:3:0, error
229,-1.53824, -0.0456524, 6.15797, 4.06076, 5.40502, 0.329679, -1.69379, -2.73402, -3.16807, 2.46347, 2.61061, -0.701965, 3.71937, 2.85797, 0.580689, 1.12016, -2.854, 5.1449, -3.21321, -1.97559, -2.16917, 1.72927, 3.58412, 4.46706, 3.72307, 0.358959, 3.28553, -4.00628, 4.90909, -0.893994, -2.74616, -2.1749, -1.81505, 4.54317, 3.72851, -3.48363, -1.92158, 0.068318
239,-1.54684, -0.0547275, 6.16516, 4.06513, 5.41259, 0.329961, -1.67949, -2.7323, -3.17674, 2.48683, 2.62238, -0.707845, 3.74328, 2.86532, 0.582381, 1.08461, -2.86571, 5.17564, -3.22618, -1.9481, -2.19346, 1.74979, 3.63591, 4.50577, 3.76482, 0.389167, 3.33234, -4.054, 4.96259, -0.961176, -2.78889, -2.18959, -1.75474, 4.65453, 3.85025, -3.66116, -1.93375, 0.0598372
249,-1.55573, -0.0632958, 6.17205, 4.06785, 5.4189, 0.330287, -1.66544, -2.73011, -3.18458, 2.50773, 2.63225, -0.713436, 3.76438, 2.87038, 0.583708, 1.05222, -2.87786, 5.20395, -3.2364, -1.92114, -2.215, 1.76816, 3.68211, 4.54035, 3.80211, 0.415907, 3.37612, -4.0976, 5.01069, -1.02432, -2.82594, -2.20074, -1.69843, 4.75727, 3.95762, -3.82364, -1.94136, 0.0528012
259,-1.5647, -0.0713671, 6.17861, 4.06933, 5.42417, 0.330627, -1.65178, -2.72762, -3.1917, 2.52651, 2.64061, -0.718747, 3.7831, 2.87369, 0.584718, 1.02264, -2.89016, 5.23003, -3.24455, -1.89501, -2.23408, 1.78467, 3.72346, 4.57146, 3.83563, 0.439716, 3.41697, -4.13758, 5.05396, -1.08347, -2.85819, -2.20891, -1.6465, 4.85238, 4.05257, -3.9728, -1.94531, 0.0469306
269,-1.5736, -0.078955, 6.18484, 4.06989, 5.42861, 0.330962, -1.63861, -2.72495, -3.19816, 2.54345, 2.64774, -0.723792, 3.7998, 2.87567, 0.585452, 0.99555, -2.90241, 5.25406, -3.25113, -1.86993, -2.251, 1.79959, 3.76065, 4.59962, 3.86596, 0.461042, 3.45506, -4.17438, 5.09297, -1.13874, -2.88638, -2.21465, -1.59901, 4.94074, 4.13681, -4.11013, -1.94639, 0.0420023
279,-1.58232, -0.0860777, 6.19072, 4.06976, 5.43238, 0.331281, -1.62601, -2.72221, -3.20404, 2.55879, 2.65389, -0.728589, 3.81478, 2.87666, 0.585951, 0.970697, -2.91446, 5.27623, -3.25653, -1.84606, -2.26605, 1.81315, 3.79424, 4.62527, 3.89356, 0.480255, 3.49056, -4.20837, 5.12821, -1.19031, -2.91113, -2.21841, -1.55582, 5.0231, 4.21184, -4.23691, -1.94526, 0.0378387
289,-1.59079, -0.0927576, 6.19628, 4.06913, 5.43561, 0.331576, -1.61401, -2.71947, -3.20939, 2.57275, 2.65921, -0.733154, 3.8283, 2.8769, 0.586247, 0.947846, -2.9262, 5.29672, -3.26102, -1.82347, -2.27947, 1.82554, 3.82472, 4.64877, 3.91881, 0.497657, 3.52366, -4.23989, 5.16014, -1.2384, -2.93298, -2.22062, -1.51667, 5.10015, 4.27895, -4.35431, -1.94248, 0.0342982
299,-1.59896, -0.0990197, 6.20153, 4.06814, 5.43839, 0.331842, -1.60264, -2.71679, -3.21428, 2.5855, 2.66387, -0.737503, 3.84056, 2.87658, 0.586372, 0.926788, -2.93757, 5.31568, -3.26482, -1.8022, -2.29149, 1.83692, 3.85249, 4.67042, 3.94205, 0.513501, 3.55455, -4.26921, 5.18918, -1.28324, -2.95237, -2.22161, -1.48123, 5.17245, 4.33925, -4.46331, -1.93847, 0.0312676
309,-1.60681, -0.104891, 6.20648, 4.0669, 5.4408, 0.332079, -1.5919, -2.71418, -3.21876, 2.59719, 2.66797, -0.741653, 3.85174, 2.87585, 0.586351, 0.907339, -2.94853, 5.33329, -3.26807, -1.78222, -2.3023, 1.84743, 3.87792, 4.69046, 3.96353, 0.527994, 3.58341, -4.29658, 5.21566, -1.32506, -2.96966, -2.22165, -1.44915, 5.24052, 4.3937, -4.56481, -1.93357, 0.0286568
319,-1.61433, -0.110398, 6.21115, 4.06548, 5.44292, 0.332286, -1.58177, -2.71168, -3.22287, 2.60796, 2.6716, -0.745618, 3.86199, 2.87482, 0.586207, 0.889335, -2.95907, 5.34967, -3.2709, -1.7635, -2.31207, 1.85718, 3.90128, 4.70911, 3.98348, 0.541309, 3.61043, -4.32219, 5.23991, -1.36412, -2.98517, -2.22096, -1.42007, 5.30478, 4.44309, -4.65957, -1.92804, 0.0263932
329,-1.62151, -0.115569, 6.21557, 4.06396, 5.44479, 0.332463, -1.57221, -2.70929, -3.22666, 2.61791, 2.67484, -0.749411, 3.87143, 2.87358, 0.585961, 0.872628, -2.96918, 5.36494, -3.27339, -1.74597, -2.32094, 1.86626, 3.92283, 4.72654, 4.00208, 0.553591, 3.63576, -4.34624, 5.26219, -1.40064, -2.99915, -2.21973, -1.39367, 5.3656, 4.48809, -4.74829, -1.92207, 0.0244186
339,-1.62837, -0.120429, 6.21975, 4.06236, 5.44645, 0.332614, -1.56321, -2.70702, -3.23016, 2.62715, 2.67775, -0.753044, 3.88015, 2.87218, 0.585629, 0.857088, -2.97886, 5.37922, -3.27561, -1.72955, -2.32903, 1.87476, 3.94279, 4.74288, 4.01949, 0.564962, 3.65956, -4.36887, 5.28273, -1.43483, -3.01182, -2.21808, -1.36964, 5.42332, 4.52929, -4.83156, -1.91582, 0.0226859
349,-1.63491, -0.125002, 6.2237, 4.06073, 5.44794, 0.332739, -1.55473, -2.70486, -3.23339, 2.63574, 2.68038, -0.756529, 3.88825, 2.87068, 0.585225, 0.842598, -2.98813, 5.3926, -3.27761, -1.71418, -2.33644, 1.88274, 3.96133, 4.75827, 4.03583, 0.575526, 3.68196, -4.39023, 5.30173, -1.4669, -3.02335, -2.21613, -1.3477, 5.47821, 4.56716, -4.9099, -1.90939, 0.0211569
359,-1.64115, -0.129311, 6.22746, 4.05908, 5.44928, 0.332841, -1.54673, -2.70282, -3.2364, 2.64377, 2.68277, -0.759875, 3.8958, 2.86912, 0.584762, 0.829055, -2.997, 5.40516, -3.27942, -1.69977, -2.34326, 1.89026, 3.97861, 4.77279, 4.05122, 0.58537, 3.70309, -4.41043, 5.31936, -1.49702, -3.03391, -2.21395, -1.32763, 5.53053, 4.60211, -4.98379, -1.90287, 0.0198005
