step,weight:l:0:0:0, weight:l:0:0:1, weight:l:0:0:2, weight:l:0:1:0, weight:l:0:1:1, weight:l:0:1:2, bias:l:0:0, bias:l:0:1, bias:l:0:2, weight:l:1:0:0, weight:l:1:0:1, weight:l:1:0:2, weight:l:1:1:0, weight:l:1:1:1, weight:l:1:1:2, weight:l:1:2:0, weight:l:1:2:1, weight:l:1:2:2, bias:l:1:0, bias:l:1:1, bias:l:1:2, weight:l:2:0:0, weight:l:2:0:1, weight:l:2:0:2, weight:l:2:1:0, weight:l:2:1:1, weight:l:2:1:2, weight:l:2:2:0, weight:l:2:2:1, weight:l:2:2:2, bias:l:2:0, bias:l:2:1, bias:l:2:2, weight:l:3:0:0, weight:l:3:1:0, weight:l:3:2:0, bias:l:3:0, error
2849,6.50673, -3.24906, 4.11954, -0.317928, 4.32689, 4.19348, -2.90612, -3.15074, -1.77999, 4.78018, -4.11629, 4.80368, -1.31973, 3.82087, 1.48424, 0.892442, 1.93035, 3.92389, -2.22739, -3.21385, -3.37886, 5.46053, 1.89748, 2.4249, -3.27324, 2.29552, 3.12921, 1.96553, 4.43281, 6.27896, -1.6148, -1.38273, -3.09241, -4.5855, 2.58782, 6.14087, -4.38904, 0.255148
2859,6.50704, -3.25, 4.12046, -0.318354, 4.32718, 4.19352, -2.90615, -3.1507, -1.77968, 4.7808, -4.11713, 4.80455, -1.32052, 3.82181, 1.48378, 0.892152, 1.93066, 3.92417, -2.22692, -3.21416, -3.37937, 5.46219, 1.89926, 2.42645, -3.27495, 2.29548, 3.12921, 1.96544, 4.4347, 6.28063, -1.61245, -1.38266, -3.09248, -4.58831, 2.58911, 6.14305, -4.3898, 0.255146
2869,6.50734, -3.25095, 4.12138, -0.318779, 4.32747, 4.19356, -2.90618, -3.15066, -1.77938, 4.78142, -4.11797, 4.80541, -1.32131, 3.82275, 1.48333, 0.891863, 1.93097, 3.92444, -2.22646, -3.21447, -3.37988, 5.46385, 1.90103, 2.428, -3.27665, 2.29543, 3.1292, 1.96536, 4.43659, 6.2823, -1.61012, -1.38259, -3.09254, -4.59111, 2.5904, 6.14521, -4.39054, 0.255144
2879,6.50765, -3.25189, 4.1223, -0.319203, 4.32775, 4.1936, -2.90621, -3.15062, -1.77908, 4.78204, -4.11881, 4.80627, -1.3221, 3.82368, 1.48288, 0.891574, 1.93128, 3.92471, -2.22599, -3.21478, -3.38038, 5.46551, 1.90279, 2.42955, -3.27835, 2.29539, 3.1292, 1.96528, 4.43847, 6.28395, -1.60779, -1.38252, -3.0926, -4.5939, 2.59168, 6.14736, -4.39128, 0.255142
2889,6.50795, -3.25282, 4.12321, -0.319626, 4.32804, 4.19364, -2.90623, -3.15058, -1.77878, 4.78265, -4.11964, 4.80713, -1.32289, 3.8246, 1.48243, 0.891285, 1.93158, 3.92498, -2.22552, -3.21508, -3.38088, 5.46716, 1.90455, 2.43108, -3.28005, 2.29535, 3.1292, 1.96519, 4.44034, 6.2856, -1.60548, -1.38245, -3.09266, -4.59668, 2.59296, 6.1495, -4.39202, 0.25514
2899,6.50826, -3.25376, 4.12412, -0.320049, 4.32833, 4.19368, -2.90626, -3.15054, -1.77848, 4.78326, -4.12047, 4.80799, -1.32367, 3.82553, 1.48198, 0.890997, 1.93188, 3.92525, -2.22506, -3.21539, -3.38138, 5.4688, 1.9063, 2.43261, -3.28174, 2.29531, 3.12919, 1.96511, 4.44221, 6.28724, -1.60317, -1.38238, -3.09272, -4.59944, 2.59423, 6.15163, -4.39275, 0.255138
2909,6.50856, -3.25468, 4.12503, -0.320471, 4.32861, 4.19372, -2.90629, -3.1505, -1.77818, 4.78387, -4.1213, 4.80884, -1.32445, 3.82645, 1.48153, 0.890708, 1.93219, 3.92552, -2.2246, -3.21569, -3.38188, 5.47043, 1.90804, 2.43414, -3.28342, 2.29526, 3.12919, 1.96503, 4.44406, 6.28888, -1.60087, -1.38231, -3.09278, -4.6022, 2.59549, 6.15375, -4.39347, 0.255137
2919,6.50886, -3.25561, 4.12593, -0.320892, 4.3289, 4.19375, -2.90631, -3.15046, -1.77788, 4.78447, -4.12212, 4.80968, -1.32523, 3.82736, 1.48108, 0.89042, 1.93249, 3.92579, -2.22414, -3.216, -3.38237, 5.47207, 1.90977, 2.43565, -3.2851, 2.29522, 3.12919, 1.96495, 4.44591, 6.2905, -1.59858, -1.38224, -3.09283, -4.60495, 2.59675, 6.15586, -4.39418, 0.255135
2929,6.50915, -3.25652, 4.12683, -0.321313, 4.32918, 4.19379, -2.90634, -3.15042, -1.77758, 4.78508, -4.12294, 4.81053, -1.326, 3.82827, 1.48063, 0.890133, 1.93278, 3.92605, -2.22368, -3.2163, -3.38286, 5.47369, 1.9115, 2.43716, -3.28677, 2.29518, 3.12918, 1.96488, 4.44775, 6.29212, -1.5963, -1.38216, -3.09289, -4.60768, 2.598, 6.15796, -4.39489, 0.255133
2939,6.50945, -3.25744, 4.12772, -0.321733, 4.32947, 4.19383, -2.90637, -3.15038, -1.77728, 4.78568, -4.12376, 4.81136, -1.32678, 3.82918, 1.48019, 0.889845, 1.93308, 3.92631, -2.22322, -3.2166, -3.38335, 5.47531, 1.91322, 2.43867, -3.28843, 2.29514, 3.12918, 1.9648, 4.44959, 6.29373, -1.59403, -1.38209, -3.09294, -4.6104, 2.59925, 6.16005, -4.3956, 0.255131
2949,6.50974, -3.25835, 4.12862, -0.322152, 4.32975, 4.19387, -2.90639, -3.15034, -1.77699, 4.78627, -4.12458, 4.8122, -1.32755, 3.83008, 1.47974, 0.889558, 1.93338, 3.92657, -2.22276, -3.2169, -3.38384, 5.47692, 1.91494, 2.44017, -3.29009, 2.29509, 3.12917, 1.96472, 4.45141, 6.29534, -1.59176, -1.38201, -3.09299, -4.61312, 2.60049, 6.16213, -4.3963, 0.255129
2959,6.51004, -3.25926, 4.1295, -0.322571, 4.33003, 4.1939, -2.90642, -3.1503, -1.77669, 4.78686, -4.12539, 4.81303, -1.32832, 3.83098, 1.4793, 0.88927, 1.93367, 3.92683, -2.22231, -3.2172, -3.38432, 5.47853, 1.91664, 2.44166, -3.29174, 2.29505, 3.12917, 1.96464, 4.45323, 6.29694, -1.58951, -1.38193, -3.09304, -4.61582, 2.60173, 6.16419, -4.39699, 0.255128
2969,6.51033, -3.26016, 4.13039, -0.322988, 4.33031, 4.19394, -2.90644, -3.15026, -1.77639, 4.78746, -4.12619, 4.81386, -1.32908, 3.83188, 1.47886, 0.888983, 1.93396, 3.92709, -2.22185, -3.2175, -3.3848, 5.48014, 1.91834, 2.44315, -3.29339, 2.29501, 3.12917, 1.96457, 4.45504, 6.29853, -1.58726, -1.38186, -3.09309, -4.61851, 2.60296, 6.16625, -4.39768, 0.255126
2979,6.51062, -3.26106, 4.13127, -0.323406, 4.33059, 4.19397, -2.90646, -3.15022, -1.7761, 4.78804, -4.127, 4.81469, -1.32985, 3.83277, 1.47842, 0.888697, 1.93426, 3.92734, -2.2214, -3.21779, -3.38528, 5.48173, 1.92004, 2.44463, -3.29503, 2.29497, 3.12916, 1.96449, 4.45684, 6.30011, -1.58502, -1.38178, -3.09314, -4.62119, 2.60419, 6.1683, -4.39836, 0.255124
2989,6.51091, -3.26195, 4.13215, -0.323822, 4.33087, 4.19401, -2.90649, -3.15018, -1.7758, 4.78863, -4.1278, 4.81551, -1.33061, 3.83366, 1.47798, 0.88841, 1.93455, 3.9276, -2.22095, -3.21809, -3.38576, 5.48333, 1.92173, 2.4461, -3.29666, 2.29493, 3.12916, 1.96442, 4.45863, 6.30169, -1.58279, -1.38169, -3.09319, -4.62387, 2.60541, 6.17034, -4.39904, 0.255123
2999,6.51119, -3.26284, 4.13302, -0.324238, 4.33115, 4.19405, -2.90651, -3.15013, -1.77551, 4.78921, -4.1286, 4.81633, -1.33137, 3.83455, 1.47754, 0.888124, 1.93483, 3.92785, -2.22049, -3.21838, -3.38624, 5.48491, 1.92341, 2.44757, -3.29829, 2.29488, 3.12915, 1.96435, 4.46042, 6.30326, -1.58057, -1.38161, -3.09323, -4.62653, 2.60663, 6.17237, -4.39971, 0.255121
3009,6.51148, -3.26373, 4.13389, -0.324653, 4.33143, 4.19408, -2.90654, -3.15009, -1.77522, 4.78979, -4.1294, 4.81714, -1.33212, 3.83543, 1.47711, 0.887838, 1.93512, 3.9281, -2.22005, -3.21867, -3.38671, 5.48649, 1.92508, 2.44904, -3.29992, 2.29484, 3.12914, 1.96427, 4.4622, 6.30482, -1.57835, -1.38153, -3.09327, -4.62918, 2.60784, 6.17439, -4.40037, 0.255119
3019,6.51176, -3.26461, 4.13476, -0.325067, 4.3317, 4.19411, -2.90656, -3.15005, -1.77493, 4.79037, -4.13019, 4.81795, -1.33288, 3.83631, 1.47667, 0.887553, 1.93541, 3.92835, -2.2196, -3.21896, -3.38718, 5.48807, 1.92675, 2.45049, -3.30153, 2.2948, 3.12914, 1.9642, 4.46397, 6.30638, -1.57615, -1.38144, -3.09332, -4.63182, 2.60904, 6.1764, -4.40104, 0.255118
3029,6.51205, -3.26549, 4.13562, -0.325481, 4.33198, 4.19415, -2.90658, -3.15001, -1.77464, 4.79094, -4.13098, 4.81876, -1.33363, 3.83719, 1.47624, 0.887267, 1.93569, 3.9286, -2.21915, -3.21925, -3.38765, 5.48964, 1.92841, 2.45194, -3.30315, 2.29476, 3.12913, 1.96413, 4.46574, 6.30793, -1.57395, -1.38136, -3.09336, -4.63445, 2.61024, 6.1784, -4.40169, 0.255116
3039,6.51233, -3.26636, 4.13648, -0.325894, 4.33226, 4.19418, -2.9066, -3.14996, -1.77434, 4.79151, -4.13177, 4.81957, -1.33438, 3.83806, 1.4758, 0.886982, 1.93597, 3.92884, -2.2187, -3.21954, -3.38811, 5.49121, 1.93006, 2.45339, -3.30475, 2.29472, 3.12913, 1.96406, 4.4675, 6.30947, -1.57176, -1.38127, -3.0934, -4.63707, 2.61144, 6.18039, -4.40234, 0.255114
3049,6.51261, -3.26723, 4.13734, -0.326306, 4.33253, 4.19422, -2.90663, -3.14992, -1.77405, 4.79208, -4.13255, 4.82037, -1.33513, 3.83893, 1.47537, 0.886697, 1.93626, 3.92909, -2.21826, -3.21983, -3.38857, 5.49277, 1.93171, 2.45483, -3.30635, 2.29468, 3.12912, 1.96399, 4.46925, 6.311, -1.56958, -1.38118, -3.09343, -4.63969, 2.61263, 6.18237, -4.40299, 0.255113
3059,6.51288, -3.2681, 4.13819, -0.326718, 4.33281, 4.19425, -2.90665, -3.14988, -1.77377, 4.79265, -4.13333, 4.82117, -1.33587, 3.83979, 1.47494, 0.886412, 1.93654, 3.92933, -2.21782, -3.22012, -3.38904, 5.49432, 1.93335, 2.45626, -3.30795, 2.29464, 3.12912, 1.96392, 4.47099, 6.31253, -1.56741, -1.3811, -3.09347, -4.64229, 2.61381, 6.18434, -4.40363, 0.255111
3069,6.51316, -3.26896, 4.13904, -0.327129, 4.33308, 4.19428, -2.90667, -3.14984, -1.77348, 4.79321, -4.13411, 4.82196, -1.33662, 3.84065, 1.47451, 0.886128, 1.93681, 3.92957, -2.21738, -3.2204, -3.38949, 5.49587, 1.93499, 2.45769, -3.30954, 2.29459, 3.12911, 1.96386, 4.47273, 6.31406, -1.56524, -1.38101, -3.09351, -4.64488, 2.61499, 6.1863, -4.40426, 0.25511
3079,6.51344, -3.26982, 4.13989, -0.327539, 4.33335, 4.19432, -2.90669, -3.14979, -1.77319, 4.79377, -4.13489, 4.82275, -1.33736, 3.84151, 1.47408, 0.885844, 1.93709, 3.92981, -2.21694, -3.22069, -3.38995, 5.49742, 1.93662, 2.45912, -3.31113, 2.29455, 3.1291, 1.96379, 4.47446, 6.31557, -1.56308, -1.38092, -3.09354, -4.64746, 2.61617, 6.18826, -4.40489, 0.255108
3089,6.51371, -3.27068, 4.14073, -0.327948, 4.33362, 4.19435, -2.90671, -3.14975, -1.7729, 4.79433, -4.13566, 4.82354, -1.3381, 3.84236, 1.47365, 0.88556, 1.93737, 3.93005, -2.2165, -3.22097, -3.3904, 5.49895, 1.93824, 2.46053, -3.31271, 2.29451, 3.1291, 1.96372, 4.47618, 6.31708, -1.56093, -1.38082, -3.09357, -4.65004, 2.61734, 6.1902, -4.40552, 0.255107
3099,6.51398, -3.27153, 4.14157, -0.328357, 4.33389, 4.19438, -2.90673, -3.1497, -1.77261, 4.79488, -4.13643, 4.82433, -1.33883, 3.84322, 1.47323, 0.885276, 1.93764, 3.93028, -2.21606, -3.22125, -3.39086, 5.50049, 1.93986, 2.46195, -3.31428, 2.29447, 3.12909, 1.96366, 4.4779, 6.31859, -1.55879, -1.38073, -3.0936, -4.6526, 2.6185, 6.19214, -4.40614, 0.255105
3109,6.51425, -3.27238, 4.14241, -0.328766, 4.33416, 4.19441, -2.90675, -3.14966, -1.77233, 4.79544, -4.13719, 4.82511, -1.33957, 3.84406, 1.4728, 0.884993, 1.93792, 3.93052, -2.21562, -3.22153, -3.39131, 5.50202, 1.94147, 2.46335, -3.31585, 2.29443, 3.12908, 1.96359, 4.47961, 6.32008, -1.55666, -1.38064, -3.09364, -4.65516, 2.61966, 6.19406, -4.40675, 0.255103
3119,6.51452, -3.27323, 4.14324, -0.329173, 4.33443, 4.19444, -2.90677, -3.14962, -1.77204, 4.79599, -4.13796, 4.82589, -1.3403, 3.84491, 1.47238, 0.88471, 1.93819, 3.93075, -2.21519, -3.22181, -3.39175, 5.50354, 1.94308, 2.46476, -3.31741, 2.29439, 3.12908, 1.96353, 4.48131, 6.32157, -1.55453, -1.38054, -3.09366, -4.6577, 2.62082, 6.19598, -4.40736, 0.255102
3129,6.51479, -3.27407, 4.14407, -0.32958, 4.3347, 4.19447, -2.90679, -3.14957, -1.77176, 4.79653, -4.13872, 4.82667, -1.34103, 3.84575, 1.47195, 0.884427, 1.93846, 3.93098, -2.21475, -3.22209, -3.3922, 5.50506, 1.94467, 2.46615, -3.31897, 2.29435, 3.12907, 1.96347, 4.483, 6.32306, -1.55241, -1.38045, -3.09369, -4.66024, 2.62197, 6.19789, -4.40797, 0.2551
3139,6.51506, -3.27491, 4.1449, -0.329986, 4.33497, 4.1945, -2.90681, -3.14953, -1.77147, 4.79708, -4.13948, 4.82744, -1.34176, 3.84659, 1.47153, 0.884145, 1.93873, 3.93122, -2.21432, -3.22237, -3.39264, 5.50658, 1.94627, 2.46754, -3.32052, 2.29431, 3.12906, 1.9634, 4.48469, 6.32454, -1.5503, -1.38035, -3.09372, -4.66276, 2.62312, 6.19979, -4.40857, 0.255099
3149,6.51533, -3.27574, 4.14572, -0.330392, 4.33524, 4.19453, -2.90683, -3.14948, -1.77119, 4.79762, -4.14023, 4.82821, -1.34248, 3.84742, 1.47111, 0.883863, 1.939, 3.93144, -2.21389, -3.22265, -3.39309, 5.50809, 1.94785, 2.46893, -3.32207, 2.29427, 3.12905, 1.96334, 4.48637, 6.32601, -1.5482, -1.38025, -3.09375, -4.66528, 2.62426, 6.20168, -4.40917, 0.255098
3159,6.51559, -3.27657, 4.14655, -0.330797, 4.33551, 4.19456, -2.90685, -3.14944, -1.77091, 4.79816, -4.14099, 4.82898, -1.34321, 3.84826, 1.47069, 0.883581, 1.93926, 3.93167, -2.21346, -3.22292, -3.39353, 5.50959, 1.94944, 2.47031, -3.32362, 2.29423, 3.12905, 1.96328, 4.48805, 6.32748, -1.5461, -1.38016, -3.09377, -4.66779, 2.6254, 6.20356, -4.40976, 0.255096
3169,6.51585, -3.2774, 4.14736, -0.331201, 4.33577, 4.19459, -2.90687, -3.1494, -1.77063, 4.7987, -4.14174, 4.82974, -1.34393, 3.84908, 1.47027, 0.883299, 1.93953, 3.9319, -2.21303, -3.2232, -3.39396, 5.51109, 1.95101, 2.47168, -3.32515, 2.29419, 3.12904, 1.96322, 4.48972, 6.32894, -1.54401, -1.38006, -3.09379, -4.67029, 2.62653, 6.20544, -4.41034, 0.255095
3179,6.51612, -3.27822, 4.14818, -0.331605, 4.33604, 4.19462, -2.90689, -3.14935, -1.77034, 4.79924, -4.14249, 4.8305, -1.34465, 3.84991, 1.46985, 0.883017, 1.93979, 3.93212, -2.2126, -3.22347, -3.3944, 5.51259, 1.95258, 2.47305, -3.32669, 2.29415, 3.12903, 1.96316, 4.49138, 6.33039, -1.54193, -1.37996, -3.09382, -4.67278, 2.62766, 6.2073, -4.41093, 0.255093
3189,6.51638, -3.27904, 4.14899, -0.332008, 4.3363, 4.19465, -2.90691, -3.14931, -1.77006, 4.79977, -4.14323, 4.83126, -1.34536, 3.85073, 1.46944, 0.882736, 1.94006, 3.93235, -2.21218, -3.22375, -3.39483, 5.51408, 1.95414, 2.47442, -3.32821, 2.29411, 3.12902, 1.9631, 4.49304, 6.33184, -1.53986, -1.37986, -3.09384, -4.67526, 2.62878, 6.20916, -4.41151, 0.255092
3199,6.51664, -3.27986, 4.1498, -0.33241, 4.33657, 4.19468, -2.90693, -3.14926, -1.76978, 4.8003, -4.14397, 4.83201, -1.34608, 3.85155, 1.46902, 0.882455, 1.94032, 3.93257, -2.21175, -3.22402, -3.39526, 5.51557, 1.9557, 2.47578, -3.32974, 2.29407, 3.12902, 1.96304, 4.49469, 6.33328, -1.53779, -1.37975, -3.09386, -4.67773, 2.6299, 6.21101, -4.41208, 0.25509
3209,6.51689, -3.28067, 4.15061, -0.332812, 4.33683, 4.19471, -2.90695, -3.14922, -1.7695, 4.80083, -4.14471, 4.83276, -1.34679, 3.85237, 1.46861, 0.882175, 1.94058, 3.93279, -2.21133, -3.22429, -3.39569, 5.51705, 1.95725, 2.47713, -3.33125, 2.29403, 3.12901, 1.96299, 4.49633, 6.33472, -1.53573, -1.37965, -3.09388, -4.6802, 2.63101, 6.21285, -4.41265, 0.255089
3219,6.51715, -3.28148, 4.15141, -0.333213, 4.33709, 4.19474, -2.90697, -3.14917, -1.76923, 4.80136, -4.14545, 4.83351, -1.3475, 3.85318, 1.46819, 0.881894, 1.94084, 3.93301, -2.2109, -3.22456, -3.39612, 5.51853, 1.9588, 2.47848, -3.33277, 2.29399, 3.129, 1.96293, 4.49797, 6.33615, -1.53368, -1.37955, -3.0939, -4.68265, 2.63212, 6.21468, -4.41321, 0.255088
3229,6.51741, -3.28229, 4.15221, -0.333613, 4.33735, 4.19477, -2.90698, -3.14913, -1.76895, 4.80188, -4.14619, 4.83426, -1.34821, 3.85399, 1.46778, 0.881614, 1.9411, 3.93323, -2.21048, -3.22483, -3.39655, 5.52, 1.96034, 2.47983, -3.33428, 2.29395, 3.12899, 1.96287, 4.4996, 6.33757, -1.53164, -1.37944, -3.09391, -4.6851, 2.63323, 6.21651, -4.41377, 0.255086
3239,6.51766, -3.28309, 4.15301, -0.334013, 4.33761, 4.1948, -2.907, -3.14908, -1.76867, 4.8024, -4.14692, 4.835, -1.34892, 3.8548, 1.46737, 0.881335, 1.94136, 3.93345, -2.21006, -3.22509, -3.39697, 5.52147, 1.96188, 2.48117, -3.33578, 2.29391, 3.12898, 1.96282, 4.50122, 6.33899, -1.5296, -1.37934, -3.09393, -4.68754, 2.63433, 6.21832, -4.41433, 0.255085
3249,6.51791, -3.2839, 4.1538, -0.334412, 4.33787, 4.19482, -2.90702, -3.14903, -1.76839, 4.80292, -4.14765, 4.83574, -1.34962, 3.8556, 1.46696, 0.881055, 1.94161, 3.93366, -2.20964, -3.22536, -3.39739, 5.52293, 1.96341, 2.4825, -3.33728, 2.29387, 3.12897, 1.96276, 4.50284, 6.3404, -1.52757, -1.37923, -3.09395, -4.68996, 2.63543, 6.22013, -4.41488, 0.255083
3259,6.51816, -3.28469, 4.15459, -0.334811, 4.33813, 4.19485, -2.90704, -3.14899, -1.76812, 4.80344, -4.14838, 4.83648, -1.35033, 3.8564, 1.46655, 0.880776, 1.94187, 3.93388, -2.20923, -3.22563, -3.39781, 5.52439, 1.96493, 2.48383, -3.33877, 2.29383, 3.12897, 1.96271, 4.50445, 6.34181, -1.52554, -1.37913, -3.09396, -4.69238, 2.63652, 6.22193, -4.41543, 0.255082
3269,6.51842, -3.28549, 4.15538, -0.335209, 4.33839, 4.19488, -2.90705, -3.14894, -1.76784, 4.80395, -4.1491, 4.83722, -1.35103, 3.8572, 1.46614, 0.880497, 1.94212, 3.93409, -2.20881, -3.22589, -3.39823, 5.52584, 1.96645, 2.48516, -3.34026, 2.29379, 3.12896, 1.96266, 4.50606, 6.34321, -1.52353, -1.37902, -3.09397, -4.6948, 2.63761, 6.22373, -4.41597, 0.255081
3279,6.51866, -3.28628, 4.15617, -0.335606, 4.33865, 4.19491, -2.90707, -3.1489, -1.76757, 4.80446, -4.14982, 4.83795, -1.35172, 3.858, 1.46573, 0.880219, 1.94237, 3.9343, -2.20839, -3.22615, -3.39865, 5.52729, 1.96796, 2.48648, -3.34174, 2.29375, 3.12895, 1.9626, 4.50766, 6.34461, -1.52152, -1.37891, -3.09399, -4.6972, 2.63869, 6.22551, -4.41651, 0.255079
3289,6.51891, -3.28707, 4.15695, -0.336002, 4.33891, 4.19493, -2.90709, -3.14885, -1.76729, 4.80497, -4.15054, 4.83868, -1.35242, 3.85879, 1.46533, 0.87994, 1.94263, 3.93451, -2.20798, -3.22642, -3.39906, 5.52874, 1.96947, 2.48779, -3.34322, 2.29371, 3.12894, 1.96255, 4.50925, 6.346, -1.51952, -1.3788, -3.094, -4.6996, 2.63977, 6.22729, -4.41705, 0.255078
3299,6.51916, -3.28785, 4.15773, -0.336398, 4.33917, 4.19496, -2.9071, -3.14881, -1.76702, 4.80548, -4.15126, 4.8394, -1.35312, 3.85958, 1.46492, 0.879662, 1.94288, 3.93472, -2.20757, -3.22668, -3.39947, 5.53018, 1.97098, 2.4891, -3.3447, 2.29367, 3.12893, 1.9625, 4.51084, 6.34739, -1.51752, -1.37869, -3.09401, -4.70198, 2.64085, 6.22906, -4.41758, 0.255077
3309,6.51941, -3.28863, 4.15851, -0.336794, 4.33942, 4.19498, -2.90712, -3.14876, -1.76674, 4.80599, -4.15197, 4.84013, -1.35381, 3.86036, 1.46452, 0.879384, 1.94312, 3.93493, -2.20716, -3.22694, -3.39989, 5.53161, 1.97247, 2.49041, -3.34617, 2.29363, 3.12892, 1.96245, 4.51242, 6.34877, -1.51553, -1.37858, -3.09402, -4.70436, 2.64192, 6.23082, -4.41811, 0.255075
3319,6.51965, -3.28941, 4.15928, -0.337188, 4.33968, 4.19501, -2.90714, -3.14871, -1.76647, 4.80649, -4.15269, 4.84085, -1.3545, 3.86115, 1.46412, 0.879107, 1.94337, 3.93514, -2.20675, -3.2272, -3.40029, 5.53305, 1.97397, 2.49171, -3.34763, 2.29359, 3.12891, 1.9624, 4.514, 6.35014, -1.51355, -1.37847, -3.09402, -4.70673, 2.64299, 6.23257, -4.41863, 0.255074
3329,6.51989, -3.29018, 4.16005, -0.337582, 4.33993, 4.19504, -2.90715, -3.14867, -1.7662, 4.80699, -4.1534, 4.84157, -1.35519, 3.86193, 1.46371, 0.87883, 1.94362, 3.93534, -2.20634, -3.22746, -3.4007, 5.53447, 1.97545, 2.49301, -3.34909, 2.29355, 3.1289, 1.96235, 4.51557, 6.35151, -1.51158, -1.37836, -3.09403, -4.70909, 2.64405, 6.23432, -4.41915, 0.255073
3339,6.52013, -3.29096, 4.16082, -0.337976, 4.34019, 4.19506, -2.90717, -3.14862, -1.76593, 4.80749, -4.1541, 4.84228, -1.35588, 3.86271, 1.46331, 0.878553, 1.94386, 3.93555, -2.20593, -3.22772, -3.40111, 5.5359, 1.97693, 2.4943, -3.35055, 2.29351, 3.12889, 1.9623, 4.51713, 6.35287, -1.50961, -1.37825, -3.09404, -4.71145, 2.64511, 6.23606, -4.41967, 0.255072
3349,6.52038, -3.29173, 4.16159, -0.338369, 4.34044, 4.19509, -2.90718, -3.14857, -1.76566, 4.80799, -4.15481, 4.84299, -1.35656, 3.86348, 1.46291, 0.878276, 1.94411, 3.93575, -2.20552, -3.22797, -3.40151, 5.53732, 1.97841, 2.49559, -3.352, 2.29347, 3.12888, 1.96226, 4.51869, 6.35423, -1.50765, -1.37813, -3.09404, -4.71379, 2.64616, 6.23779, -4.42018, 0.25507
3359,6.52062, -3.29249, 4.16235, -0.338761, 4.34069, 4.19511, -2.9072, -3.14853, -1.76539, 4.80848, -4.15551, 4.8437, -1.35724, 3.86425, 1.46251, 0.878, 1.94435, 3.93595, -2.20512, -3.22823, -3.40191, 5.53873, 1.97988, 2.49687, -3.35345, 2.29343, 3.12887, 1.96221, 4.52024, 6.35559, -1.50569, -1.37802, -3.09405, -4.71613, 2.64721, 6.23951, -4.42069, 0.255069
3369,6.52085, -3.29325, 4.16311, -0.339153, 4.34095, 4.19514, -2.90722, -3.14848, -1.76512, 4.80897, -4.15621, 4.84441, -1.35792, 3.86502, 1.46211, 0.877724, 1.9446, 3.93615, -2.20471, -3.22848, -3.40231, 5.54014, 1.98135, 2.49815, -3.35489, 2.2934, 3.12886, 1.96216, 4.52179, 6.35693, -1.50375, -1.3779, -3.09405, -4.71846, 2.64826, 6.24123, -4.42119, 0.255068
3379,6.52109, -3.29401, 4.16387, -0.339544, 4.3412, 4.19516, -2.90723, -3.14843, -1.76485, 4.80946, -4.15691, 4.84512, -1.3586, 3.86579, 1.46172, 0.877448, 1.94484, 3.93635, -2.20431, -3.22874, -3.40271, 5.54155, 1.98281, 2.49942, -3.35633, 2.29336, 3.12885, 1.96212, 4.52333, 6.35828, -1.50181, -1.37779, -3.09406, -4.72079, 2.6493, 6.24294, -4.42169, 0.255067
3389,6.52133, -3.29477, 4.16463, -0.339934, 4.34145, 4.19518, -2.90725, -3.14839, -1.76458, 4.80995, -4.15761, 4.84582, -1.35928, 3.86655, 1.46132, 0.877173, 1.94508, 3.93655, -2.20391, -3.22899, -3.40311, 5.54295, 1.98427, 2.50069, -3.35776, 2.29332, 3.12884, 1.96207, 4.52487, 6.35961, -1.49987, -1.37767, -3.09406, -4.7231, 2.65034, 6.24464, -4.42219, 0.255065
3399,6.52156, -3.29553, 4.16538, -0.340324, 4.3417, 4.19521, -2.90726, -3.14834, -1.76431, 4.81044, -4.1583, 4.84652, -1.35996, 3.86732, 1.46092, 0.876898, 1.94532, 3.93675, -2.20351, -3.22924, -3.4035, 5.54435, 1.98572, 2.50195, -3.35919, 2.29328, 3.12883, 1.96203, 4.5264, 6.36095, -1.49794, -1.37756, -3.09406, -4.72541, 2.65138, 6.24634, -4.42268, 0.255064
3409,6.5218, -3.29628, 4.16613, -0.340713, 4.34195, 4.19523, -2.90728, -3.14829, -1.76405, 4.81092, -4.15899, 4.84722, -1.36063, 3.86807, 1.46053, 0.876623, 1.94555, 3.93695, -2.20311, -3.2295, -3.4039, 5.54574, 1.98716, 2.50321, -3.36061, 2.29324, 3.12882, 1.96198, 4.52792, 6.36227, -1.49602, -1.37744, -3.09406, -4.72771, 2.65241, 6.24803, -4.42317, 0.255063
3419,6.52203, -3.29702, 4.16688, -0.341102, 4.3422, 4.19526, -2.90729, -3.14825, -1.76378, 4.8114, -4.15968, 4.84791, -1.3613, 3.86883, 1.46014, 0.876348, 1.94579, 3.93714, -2.20271, -3.22975, -3.40429, 5.54713, 1.9886, 2.50447, -3.36203, 2.2932, 3.12881, 1.96194, 4.52944, 6.36359, -1.49411, -1.37732, -3.09406, -4.73, 2.65343, 6.24971, -4.42365, 0.255062
3429,6.52226, -3.29777, 4.16762, -0.34149, 4.34245, 4.19528, -2.90731, -3.1482, -1.76351, 4.81188, -4.16037, 4.8486, -1.36197, 3.86958, 1.45974, 0.876074, 1.94603, 3.93734, -2.20231, -3.23, -3.40468, 5.54852, 1.99004, 2.50572, -3.36345, 2.29316, 3.1288, 1.9619, 4.53096, 6.36491, -1.4922, -1.3772, -3.09406, -4.73228, 2.65446, 6.25138, -4.42414, 0.255061
