step,weight:l:0:0:0, weight:l:0:1:0, weight:l:0:2:0, weight:l:0:3:0, bias:l:0:0, error
0.18218,-0.0913265,-0.0389808,-0.290962
0.125266,-0.123047,-0.03288,-0.349333
0.0531142,-0.148758,-0.0253666,-0.372513
-0.030729,-0.166983,-0.0159205,-0.353768
-0.121649,-0.174855,-0.00191433,-0.289595
-0.212854,-0.16691,0.0199149,-0.182868
-0.29414,-0.136155,0.0497587,-0.0451088
-0.352136,-0.0787028,0.0803955,0.103504
-0.373587,0.000207382,0.0983708,0.237143
-0.350812,0.0853815,0.094586,0.329958
-0.285226,0.159599,0.0735487,0.36284
-0.18567,0.213181,0.0478391,0.329181
-0.06355,0.245387,0.025121,0.237632
0.0703204,0.257671,0.00270769,0.110636
0.204782,0.246353,-0.0283479,-0.0211005
0.324946,0.201571,-0.0731015,-0.126701
0.410811,0.116295,-0.120088,-0.183394
0.44258,0.000660067,-0.141875,-0.182445
0.411342,-0.115919,-0.122228,-0.130948
0.325037,-0.203879,-0.0770394,-0.0489895
0.202602,-0.25289,-0.0339931,0.0368112
0.0632343,-0.269933,-0.00461481,0.101282
-0.0788638,-0.264311,0.0173478,0.127671
-0.212546,-0.237497,0.0434009,0.111544
-0.325289,-0.183834,0.0781683,0.0606326
-0.401679,-0.100241,0.111206,-0.00895106
-0.427888,0.00269082,0.12198,-0.0785812
-0.399608,0.101225,0.101243,-0.132946
-0.325452,0.173597,0.062713,-0.16394
-0.221796,0.213227,0.0270654,-0.171555
-0.104581,0.226639,0.00331683,-0.161899
0.0148343,0.222779,-0.0120589,-0.143442
0.128651,0.205522,-0.027036,-0.123152
0.229453,0.172799,-0.0470949,-0.10402
0.307997,0.120819,-0.0706632,-0.0848066
0.354015,0.0506444,-0.0883137,-0.0618489
0.360095,-0.0278105,-0.0894212,-0.0319415
0.325839,-0.0992554,-0.072433,0.00508548
0.258476,-0.151714,-0.0464083,0.0452899
0.169328,-0.181881,-0.0219342,0.081556
0.069479,-0.193064,-0.00339964,0.106185
-0.0322794,-0.189713,0.0109914,0.114049
