learning time, weight:l:0:0:0, weight:l:0:0:1, weight:l:0:1:0, weight:l:0:1:1, biasl:0:0, biasl:0:1, weight:l:1:0:0, weight:l:1:1:0, biasl:1:0, error
77, -0.00660563, 0.00850173, 0.0179696, 0.0378288, 0.0422291, 0.0358782, -0.0213074, 0.0142054, 0.0016088, 0.5
78, -0.00516025, 0.00918455, 0.019415, 0.0385116, 0.0436745, 0.036561, -0.066186, -0.0312978, -0.0858064, 0.5023
79, -0.00516025, 0.00918455, 0.0189919, 0.0389053, 0.0432514, 0.0369548, -0.018211, 0.0169555, 0.0072103, 0.500005
80, -0.0045887, 0.0105261, 0.0189919, 0.0389053, 0.043823, 0.0382964, 0.0262244, 0.0615664, 0.0944204, 0.502429
81, -0.00322141, 0.0126125, 0.0189919, 0.0389053, 0.0451903, 0.0403827, 0.0675293, 0.103065, 0.175441, 0.508569
82, -0.00364434, 0.0113459, 0.018569, 0.0376387, 0.0447674, 0.0391161, 0.0174059, 0.0521906, 0.0781585, 0.501621
83, -0.00295193, 0.0112524, 0.0192614, 0.0375452, 0.0454598, 0.0390226, -0.0300676, 0.00406317, -0.0140377, 0.500094
84, -0.00295193, 0.0112524, 0.0196093, 0.0386544, 0.0458077, 0.0401318, 0.0157089, 0.050102, 0.0746464, 0.501471
85, -0.00175894, 0.0131578, 0.0196093, 0.0386544, 0.0470007, 0.0420372, 0.0578535, 0.0924224, 0.157168, 0.506822
86, -0.00195363, 0.0121488, 0.0194146, 0.0376454, 0.046806, 0.0410282, 0.00808594, 0.0419571, 0.0607576, 0.500936
87, -0.00195363, 0.0121488, 0.0204838, 0.0394259, 0.0478752, 0.0428087, 0.0512438, 0.0853747, 0.144308, 0.505724
88, -0.00195363, 0.0121488, 0.0204838, 0.0394259, 0.0478218, 0.0419359, 0.0022325, 0.0364846, 0.0485765, 0.500588
89, -0.00195363, 0.0121488, 0.0204838, 0.0394259, 0.0488163, 0.042154, -0.0440395, -0.00965448, -0.0418068, 0.500603
90, -0.00190323, 0.0129797, 0.0204838, 0.0394259, 0.0488667, 0.0429849, 0.00223068, 0.0367838, 0.0486153, 0.500591
91, -0.00190323, 0.0129797, 0.0214507, 0.0411258, 0.0498336, 0.0446848, 0.045886, 0.0807143, 0.133001, 0.50489
92, -0.00022764, 0.015338, 0.0214507, 0.0411258, 0.0515092, 0.0470431, 0.0858702, 0.120888, 0.211098, 0.512437
93, -0.00108293, 0.0136398, 0.0205954, 0.0394276, 0.0506539, 0.0453449, 0.0346701, 0.0689296, 0.11229, 0.503423
94, -0.00075313, 0.0131807, 0.0209252, 0.0389685, 0.0509837, 0.0448858, -0.014035, 0.0195611, 0.0181797, 0.500056
95, 0.000567356, 0.0137715, 0.0222457, 0.0395593, 0.0523042, 0.0454766, -0.0598153, -0.0267902, -0.0702364, 0.501649
96, 0.000567356, 0.0137715, 0.0219698, 0.0400492, 0.0520283, 0.0459665, -0.0119826, 0.0212838, 0.0219926, 0.50009
97, 0.00126401, 0.0151885, 0.0219698, 0.0400492, 0.0527249, 0.0473835, 0.032308, 0.0657284, 0.108304, 0.50315
98, 0.00273247, 0.0173283, 0.0219698, 0.0400492, 0.0541934, 0.0495233, 0.0734193, 0.107011, 0.188366, 0.509803
99, 0.00218114, 0.0159752, 0.0214185, 0.038696, 0.053642, 0.0481701, 0.0225787, 0.0554874, 0.0905422, 0.502139
100, 0.00349196, 0.0179584, 0.0214185, 0.038696, 0.0549529, 0.0501534, 0.0644338, 0.0975118, 0.17198, 0.5081
101, 0.00349196, 0.0179584, 0.0214185, 0.038696, 0.0545992, 0.0489951, 0.0145952, 0.0477895, 0.0749676, 0.501437
102, 0.00349196, 0.0179584, 0.0226025, 0.0405683, 0.0557832, 0.0508673, 0.0574452, 0.0908801, 0.157531, 0.506811
103, 0.00349196, 0.0179584, 0.0244487, 0.0430539, 0.0576294, 0.0533529, 0.0970451, 0.130728, 0.233745, 0.515183
104, 0.00349196, 0.0179584, 0.0244487, 0.0430539, 0.0564896, 0.0513723, 0.0458127, 0.0796021, 0.134149, 0.504932
105, 0.00349196, 0.0179584, 0.0244487, 0.0430539, 0.0565643, 0.0506403, -0.00313954, 0.0307716, 0.0389337, 0.500355
106, 0.00349196, 0.0179584, 0.0244487, 0.0430539, 0.0576694, 0.0509822, -0.049288, -0.015244, -0.0508254, 0.500887
107, 0.00349196, 0.0179584, 0.0244054, 0.0437899, 0.0576262, 0.0517181, -0.00190501, 0.0324097, 0.0402051, 0.500393
108, 0.00349196, 0.0179584, 0.0244054, 0.0437899, 0.0587068, 0.0520255, -0.0481357, -0.0136884, -0.0496676, 0.500834
109, 0.00349196, 0.0179584, 0.0243876, 0.0445599, 0.058689, 0.0527955, -0.000783079, 0.0339525, 0.0412613, 0.500428
110, 0.00440285, 0.019609, 0.0243876, 0.0445599, 0.0595999, 0.0544461, 0.0429717, 0.077889, 0.126133, 0.504441
111, 0.00604151, 0.0219359, 0.0243876, 0.0445599, 0.0612386, 0.056773, 0.0835123, 0.118627, 0.204701, 0.511825
112, 0.0052555, 0.020308, 0.0236016, 0.042932, 0.0604526, 0.055145, 0.0319526, 0.0662903, 0.106098, 0.503078
113, 0.00672357, 0.0224665, 0.0236016, 0.042932, 0.0619206, 0.0573036, 0.0733441, 0.107877, 0.186248, 0.509721
114, 0.00878068, 0.0251631, 0.0236016, 0.042932, 0.0639777, 0.0600002, 0.11154, 0.146278, 0.260106, 0.518977
115, 0.0112638, 0.0282365, 0.0236016, 0.042932, 0.0664609, 0.0630735, 0.146677, 0.181625, 0.327914, 0.529948
116, 0.0112638, 0.0282365, 0.0263767, 0.0462498, 0.069236, 0.0663913, 0.179123, 0.214317, 0.390011, 0.541928
117, 0.0112638, 0.0282365, 0.0293423, 0.0497153, 0.0722016, 0.0698568, 0.208934, 0.244371, 0.446916, 0.554359
118, 0.0112638, 0.0282365, 0.0324198, 0.0532537, 0.0752791, 0.0733952, 0.236366, 0.272037, 0.499131, 0.566855
119, 0.014406, 0.0318069, 0.0324198, 0.0532537, 0.0784213, 0.0769657, 0.261486, 0.297338, 0.547288, 0.579147
120, 0.0175606, 0.0353579, 0.0324198, 0.0532537, 0.0815759, 0.0805166, 0.284722, 0.320751, 0.591701, 0.591087
121, 0.0175606, 0.0353579, 0.0355467, 0.0567461, 0.0847028, 0.084009, 0.306368, 0.342598, 0.632659, 0.602573
122, 0.0175606, 0.0353579, 0.0355467, 0.0567461, 0.0782996, 0.0766907, 0.253648, 0.289896, 0.531502, 0.575256
123, 0.0175606, 0.0353579, 0.0386897, 0.0602976, 0.0814427, 0.0802422, 0.277653, 0.314122, 0.576928, 0.587347
124, 0.0207087, 0.0388876, 0.0386897, 0.0602976, 0.0845907, 0.0837719, 0.29975, 0.336394, 0.61904, 0.599004
125, 0.0145249, 0.0318279, 0.032506, 0.0532379, 0.0784069, 0.0767122, 0.245465, 0.281128, 0.517749, 0.571476
126, 0.0176694, 0.0353872, 0.032506, 0.0532379, 0.0815514, 0.0802715, 0.2699, 0.305746, 0.564451, 0.583665
127, 0.0176694, 0.0353872, 0.032506, 0.0532379, 0.0760023, 0.0738022, 0.216447, 0.252325, 0.461731, 0.557925
128, 0.0135038, 0.0303325, 0.0283404, 0.0481833, 0.0718367, 0.0687476, 0.161335, 0.196279, 0.358041, 0.535473
129, 0.01076, 0.0267221, 0.0255966, 0.0445729, 0.0690929, 0.0651372, 0.106925, 0.141008, 0.255068, 0.518072
130, 0.01076, 0.0267221, 0.0255966, 0.0445729, 0.0677143, 0.0629019, 0.0550261, 0.0892079, 0.154734, 0.506567
131, 0.0125688, 0.0291863, 0.0255966, 0.0445729, 0.0695231, 0.0653661, 0.0947603, 0.129155, 0.231204, 0.514884
132, 0.011519, 0.0273057, 0.0245468, 0.0426923, 0.0684733, 0.0634855, 0.042291, 0.0759059, 0.131622, 0.504651
133, 0.011519, 0.0273057, 0.0245468, 0.0426923, 0.0686357, 0.0628474, -0.00684393, 0.0268894, 0.0366039, 0.500278
134, 0.012723, 0.02777, 0.0257508, 0.0431566, 0.0698397, 0.0633117, -0.0539453, -0.0208397, -0.0529166, 0.501057
135, 0.012723, 0.02777, 0.0257508, 0.0431566, 0.071859, 0.0646397, -0.0970602, -0.0638187, -0.136238, 0.506028
136, 0.0115962, 0.0274436, 0.0257508, 0.0431566, 0.0707322, 0.0643133, -0.0470692, -0.0136403, -0.0403104, 0.500648
137, 0.0115975, 0.0282047, 0.0257508, 0.0431566, 0.0707335, 0.0650744, 5.76041e-05, 0.0336994, 0.0502186, 0.500577
138, 0.012525, 0.0298451, 0.0257508, 0.0431566, 0.071661, 0.0667148, 0.0440115, 0.0778839, 0.134653, 0.504898
139, 0.0126728, 0.0292068, 0.0258987, 0.0425183, 0.0718088, 0.0660765, -0.00622837, 0.0269377, 0.0394033, 0.500316
140, 0.0138689, 0.0296746, 0.0270947, 0.0429861, 0.0730049, 0.0665443, -0.053526, -0.0209721, -0.0502489, 0.500995
141, 0.0158975, 0.0310354, 0.0291234, 0.0443469, 0.0750335, 0.0679051, -0.0976039, -0.0655741, -0.133657, 0.505967
142, 0.0185502, 0.0330795, 0.0317761, 0.046391, 0.0776862, 0.0699492, -0.138387, -0.106802, -0.210609, 0.514151
143, 0.0164114, 0.0317278, 0.0317761, 0.046391, 0.0755474, 0.0685975, -0.0863405, -0.0545875, -0.111292, 0.504271
144, 0.0189218, 0.0336218, 0.0342865, 0.0482851, 0.0780578, 0.0704915, -0.128112, -0.0968094, -0.189974, 0.511709
145, 0.0189218, 0.0336218, 0.0324182, 0.0471898, 0.0761895, 0.0693963, -0.0760784, -0.0446175, -0.0914353, 0.502989
146, 0.0182907, 0.0337302, 0.0324182, 0.0471898, 0.0755584, 0.0695047, -0.027005, 0.00464063, 0.00225908, 0.500011
